"dataset","run","target","link","test_count","summary_path","element_extractor","llm_element_metrics","node_f1","relation_f1","llm_node_f1","llm_relation_f1","last_write_time"
"fsd","2026-06-16__01-36-36__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__01-36-36__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-16__01-36-36__compare-lato__test-fsd",,,,"False",,,,,"2026-06-16 01:40:15"
"fsd","2026-06-16__21-55-09__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__21-55-09__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-16__21-55-09__compare-lato__test-fsd",,,"auto","False",,,,,"2026-06-16 21:55:11"
"fsd","2026-06-16__22-32-35__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__22-32-35__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-16__22-32-35__test-fsd","116","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__22-32-35__test-fsd\test\summary.json","rule","True","0.517965853847198","0.36010566567927","0.734520689655172","0.475661206896552","2026-06-17 02:20:17"
"fsd","2026-06-17__19-20-36__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-17__19-20-36__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-17__19-20-36__test-fsd","5","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-17__19-20-36__test-fsd\test\summary.json","llm","True","0.460273765089635","0.269997990869249","0.70602","0.3729","2026-06-17 19:43:12"
"fsd","2026-06-17__20-01-04__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-17__20-01-04__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-17__20-01-04__test-fsd","116",,"llm","True",,,,,"2026-06-17 20:01:04"
"fsd","2026-06-17__20-01-43__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-17__20-01-43__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-17__20-01-43__test-fsd","116",,"llm","True",,,,,"2026-06-17 22:35:17"
"fsd","2026-06-18__11-21-05__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-18__11-21-05__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-18__11-21-05__test-fsd","30","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-18__11-21-05__test-fsd\test\summary.json","llm","True","0.556597442930104","0.344385283488799","0.750256666666667","0.438693333333333","2026-06-18 20:34:18"
"fsd","2026-06-18__23-12-33__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-18__23-12-33__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-18__23-12-33__test-fsd","30","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-18__23-12-33__test-fsd\test\summary.json","llm","True","0.563898918103527","0.369354055253425","0.751826666666667","0.458443333333333","2026-06-19 06:13:11"
"lmc","2026-06-12__21-04-23__test-lmc","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__21-04-23__test-lmc","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\lmc\2026-06-12__21-04-23__test-lmc","56",,,"False",,,,,"2026-06-12 21:12:00"
"lmc","2026-06-12__21-50-14__test-lmc","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__21-50-14__test-lmc","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\lmc\2026-06-12__21-50-14__test-lmc","56","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__21-50-14__test-lmc\test_summary.json",,"False","0.161683995307116","0.0508798391151332","0","0","2026-06-12 21:55:22"
"pure","2026-06-12__21-55-22__test-pure","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__21-55-22__test-pure","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\pure\2026-06-12__21-55-22__test-pure","100","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__21-55-22__test-pure\test_summary.json",,"False","0.279591189190004","0.0919016981229332","0","0","2026-06-12 22:05:36"
"rac","2026-06-12__22-05-36__test-rac","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__22-05-36__test-rac","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\rac\2026-06-12__22-05-36__test-rac","20","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__22-05-36__test-rac\test_summary.json",,"False","0.583497129486911","0.413951806145302","0","0","2026-06-12 22:09:19"
"us","2026-06-12__22-09-19__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__22-09-19__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\us\2026-06-12__22-09-19__test-us","220","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__22-09-19__test-us\test_summary.json",,"False","0.0537115194668671","0.00678784599239145","0","0","2026-06-12 22:33:32"
"us","2026-06-16__11-08-11__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__11-08-11__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\us\2026-06-16__11-08-11__test-us","220","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__11-08-11__test-us\test\summary.json",,"False","0.0684303710666899","0.0324568277572283","0","0","2026-06-16 11:18:43"
"us","2026-06-16__12-14-28__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__12-14-28__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\us\2026-06-16__12-14-28__test-us","220",,,"False",,,,,"2026-06-16 12:29:55"
"us","2026-06-16__12-36-41__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__12-36-41__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\us\2026-06-16__12-36-41__test-us","220","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__12-36-41__test-us\test\summary.json",,"False","0.226865124452171","0.116104962237493","0","0","2026-06-16 13:07:06"
"us","2026-06-16__17-54-58__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__17-54-58__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\us\2026-06-16__17-54-58__test-us","8",,,"False",,,,,"2026-06-16 17:54:58"
"us","2026-06-16__17-59-14__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__17-59-14__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\us\2026-06-16__17-59-14__test-us","8","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__17-59-14__test-us\test\summary.json",,"False","0.267134635507499","0.0906735751295337","0","0","2026-06-16 18:08:04"
"us","2026-06-16__18-31-48__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__18-31-48__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\us\2026-06-16__18-31-48__test-us","8","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__18-31-48__test-us\test\summary.json",,"False","0.451009354997538","0.162162162162162","0","0","2026-06-16 18:39:14"
"us","2026-06-16__19-04-03__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__19-04-03__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\us\2026-06-16__19-04-03__test-us","220",,,"True",,,,,"2026-06-16 21:06:41"
"us","2026-06-19__12-31-28__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-19__12-31-28__test-us","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\us\2026-06-19__12-31-28__test-us","30","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-19__12-31-28__test-us\test\summary.json","llm","True","0.551802527351106","0.346108581077624","0.805336666666667","0.57344","2026-06-19 21:59:27"
